source,target,relationship,cidoc_property,source_document,source_locator,evidence_type,confidence,notes
period_classical_aksumite,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2531,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and 455-8, below). While no evidence for occupation 287e) indicates that it is coil-made like Pre-and Protoof D site during these periods wa..."""
place_tomb_of_the_brick_arches,period_classical_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2584,explicit_pattern_match,0.8,"Pattern-matched sentence: ""have the more common patterns PJ to [3], and a band of alternating corrugation and infilled diamonds not found in the Tomb of the Brick Arch..."""
place_tomb_of_the_brick_arches,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2584,explicit_pattern_match,0.8,"Pattern-matched sentence: ""have the more common patterns PJ to [3], and a band of alternating corrugation and infilled diamonds not found in the Tomb of the Brick Arch..."""
period_late_aksumite,period_classical_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2584,explicit_pattern_match,0.8,"Pattern-matched sentence: ""have the more common patterns PJ to [3], and a band of alternating corrugation and infilled diamonds not found in the Tomb of the Brick Arch..."""
period_classical_aksumite,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2584,explicit_pattern_match,0.8,"Pattern-matched sentence: ""have the more common patterns PJ to [3], and a band of alternating corrugation and infilled diamonds not found in the Tomb of the Brick Arch..."""
period_classical_aksumite,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2584,explicit_pattern_match,0.8,"Pattern-matched sentence: ""have the more common patterns PJ to [3], and a band of alternating corrugation and infilled diamonds not found in the Tomb of the Brick Arch..."""
period_pre_aksumite,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2584,explicit_pattern_match,0.8,"Pattern-matched sentence: ""have the more common patterns PJ to [3], and a band of alternating corrugation and infilled diamonds not found in the Tomb of the Brick Arch..."""
place_d_site_kidane_mehret,object_glass,MADE_OF,P45_consists_of,S4,S4 line 2853,explicit_pattern_match,0.75,"Pattern-matched sentence: ""D Site at Kidane Mehret Ear-stud: A small object of button mushroom a U-shaped cup and the latter, of colourless glass with shape is interpr..."""
period_late_aksumite,object_glass,MADE_OF,P45_consists_of,S4,S4 line 2924,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Bicones: Three of the hexagonally faceted bicones 296j. From a subsequent phase of the Late Aksumite (Morrison's type Ilc, Munro-Hay 1989: 1..."""
object_glass,object_beads,MADE_OF,P45_consists_of,S4,S4 line 2931,explicit_pattern_match,0.75,"Pattern-matched sentence: ""dark translucent turquoise glass. A tetragonally faceted Oblates: Oblate beads show a range of sizes and feabicone of translucent dark blue ..."""
place_aksum,place_d_site_kidane_mehret,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
place_aksum,object_coins,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
place_aksum,object_beads,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
place_d_site_kidane_mehret,object_coins,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
place_d_site_kidane_mehret,object_beads,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
period_aksumite,object_coins,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
period_aksumite,object_beads,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
object_coins,object_beads,FOUND_AT,P7_took_place_at,S4,S4 line 2997,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum Triangular bead: A very large (34 mm across by Coins 12 mm thick) bead or weight of pale red-purple stone A total of th..."""
person_ioel,person_hataz,FOUND_AT,P7_took_place_at,S4,S4 line 3004,explicit_pattern_match,0.8,"Pattern-matched sentence: ""unperforated barrel-shaped object (Fig. 2960), of po- Late Aksurnite deposits yielded the following lished creamy white marble veined with r..."""
person_ioel,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 3004,explicit_pattern_match,0.8,"Pattern-matched sentence: ""unperforated barrel-shaped object (Fig. 2960), of po- Late Aksurnite deposits yielded the following lished creamy white marble veined with r..."""
person_ioel,object_coins,FOUND_AT,P7_took_place_at,S4,S4 line 3004,explicit_pattern_match,0.8,"Pattern-matched sentence: ""unperforated barrel-shaped object (Fig. 2960), of po- Late Aksurnite deposits yielded the following lished creamy white marble veined with r..."""
person_hataz,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 3004,explicit_pattern_match,0.8,"Pattern-matched sentence: ""unperforated barrel-shaped object (Fig. 2960), of po- Late Aksurnite deposits yielded the following lished creamy white marble veined with r..."""
person_hataz,object_coins,FOUND_AT,P7_took_place_at,S4,S4 line 3004,explicit_pattern_match,0.8,"Pattern-matched sentence: ""unperforated barrel-shaped object (Fig. 2960), of po- Late Aksurnite deposits yielded the following lished creamy white marble veined with r..."""
period_pre_aksumite,object_coins,FOUND_AT,P7_took_place_at,S4,S4 line 3004,explicit_pattern_match,0.8,"Pattern-matched sentence: ""unperforated barrel-shaped object (Fig. 2960), of po- Late Aksurnite deposits yielded the following lished creamy white marble veined with r..."""
place_d_site_kidane_mehret,period_aksumite,MADE_OF,P45_consists_of,S4,S4 line 3051,explicit_pattern_match,0.75,"Pattern-matched sentence: ""D Site at Kidane Mehret Gold Rods: The remaining four specimens are all roundTwo tiny fragments of foil were recovered from Late sectioned r..."""
place_d_site_kidane_mehret,object_gold,MADE_OF,P45_consists_of,S4,S4 line 3051,explicit_pattern_match,0.75,"Pattern-matched sentence: ""D Site at Kidane Mehret Gold Rods: The remaining four specimens are all roundTwo tiny fragments of foil were recovered from Late sectioned r..."""
period_aksumite,object_gold,MADE_OF,P45_consists_of,S4,S4 line 3051,explicit_pattern_match,0.75,"Pattern-matched sentence: ""D Site at Kidane Mehret Gold Rods: The remaining four specimens are all roundTwo tiny fragments of foil were recovered from Late sectioned r..."""
place_aksum,object_beads,MADE_OF,P45_consists_of,S4,S4 line 3098,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Archaeology at Aksum Pin: This 158-mm-long specimen has a twisted Beads: Two are made of bent strip, 3 mm wide, square-sectioned shank, beco..."""
period_post_aksumite,object_stelae,FOUND_AT,P7_took_place_at,S4,S4 line 3298,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The fine carving resembles the representation of win- of one flat face displays no evidence for subsequent dows on the multi-storeyed stelae..."""
place_d_site_kidane_mehret,period_late_aksumite,MADE_OF,P45_consists_of,S4,S4 line 3376,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Lastly, a much smaller seal is made of very similar creamy-buff stone, finely shaped as a truncated pyramid with rounded edges, both top and..."""
place_d_site_kidane_mehret,object_inscription,MADE_OF,P45_consists_of,S4,S4 line 3376,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Lastly, a much smaller seal is made of very similar creamy-buff stone, finely shaped as a truncated pyramid with rounded edges, both top and..."""
period_late_aksumite,object_inscription,MADE_OF,P45_consists_of,S4,S4 line 3376,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Lastly, a much smaller seal is made of very similar creamy-buff stone, finely shaped as a truncated pyramid with rounded edges, both top and..."""
place_d_site_kidane_mehret,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 3548,explicit_pattern_match,0.8,"Pattern-matched sentence: ""ably mass-produced elsewhere and used and resharpened Another point to be noted concerning the preat D site. This observation correlates wel..."""
place_aksum,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 3548,explicit_pattern_match,0.8,"Pattern-matched sentence: ""ably mass-produced elsewhere and used and resharpened Another point to be noted concerning the preat D site. This observation correlates wel..."""
period_late_aksumite,object_ivory,FOUND_AT,P7_took_place_at,S4,S4 line 3762,explicit_pattern_match,0.8,"Pattern-matched sentence: ""tured that this work was done by children or young The bones from D 19 include four deciduous adults with keen eyesight whose fingers had no..."""
place_d_site_kidane_mehret,place_aksum,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,person_armah,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,person_ioel,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,person_hataz,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,person_gersem,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,period_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_d_site_kidane_mehret,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_aksum,person_armah,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_aksum,person_ioel,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_aksum,person_hataz,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_aksum,person_gersem,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_aksum,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
place_aksum,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_armah,person_ioel,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_armah,person_hataz,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_armah,person_gersem,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_armah,period_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_armah,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_armah,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_ioel,person_hataz,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_ioel,person_gersem,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_ioel,period_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_ioel,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_ioel,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_hataz,person_gersem,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_hataz,period_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_hataz,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_hataz,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_gersem,period_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_gersem,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
person_gersem,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
period_aksumite,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
period_aksumite,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
period_late_aksumite,object_coins,DATED_TO,P4_has_time-span,S4,S4 line 4528,explicit_pattern_match,0.8,"Pattern-matched sentence: ""D Site at Kidane Mehret the sixth and seventh centuries. Its end appears to have example from the unstratified topsoil. Copper coins of been..."""
feature_trenches,feature_trench_late,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trenches,period_post_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trenches,period_classical_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trenches,object_glass,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trench_late,period_post_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trench_late,period_classical_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trench_late,object_pottery,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
feature_trench_late,object_glass,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
period_post_aksumite,period_classical_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
period_post_aksumite,object_pottery,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
period_post_aksumite,object_glass,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
period_classical_aksumite,object_pottery,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
period_classical_aksumite,object_glass,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
object_pottery,object_glass,DATED_TO,P4_has_time-span,S4,S4 line 4621,explicit_pattern_match,0.8,"Pattern-matched sentence: ""-·-·-Grldtoruf.aeoolllctlon hardened by heat, occupied the northwestem part of the The K2 trenches trench at an average depth of 0.8 m, boun..."""
place_tomb_of_the_brick_arches,place_mausoleum,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
place_tomb_of_the_brick_arches,place_k_site_maleke_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
place_tomb_of_the_brick_arches,feature_trenches,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
place_mausoleum,place_k_site_maleke_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
place_mausoleum,feature_trenches,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
place_mausoleum,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
feature_trenches,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 4975,explicit_pattern_match,0.8,"Pattern-matched sentence: ""interior: These, recovered throughout the K-site se- Handled jars: The neck and handles of a jar 310 quence, are a continuation of the type ..."""
place_k_site_maleke_aksum,place_mausoleum,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
place_k_site_maleke_aksum,period_post_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
place_k_site_maleke_aksum,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
place_mausoleum,period_post_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
place_mausoleum,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
place_mausoleum,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
feature_trenches,period_post_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
feature_trenches,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
period_post_aksumite,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
period_post_aksumite,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 5240,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Little demonstrably post-Aksumite or recent pottery was recovered at K site, which is surprising since the area has clearly been in continuo..."""
place_k_site_maleke_aksum,place_d_site_kidane_mehret,FOUND_AT,P7_took_place_at,S4,S4 line 5253,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Other clay objects The few clay objects recovered at K site are analogous to those found at D site and outside the Mausoleum. d Discs: At le..."""
place_d_site_kidane_mehret,place_mausoleum,FOUND_AT,P7_took_place_at,S4,S4 line 5253,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Other clay objects The few clay objects recovered at K site are analogous to those found at D site and outside the Mausoleum. d Discs: At le..."""
place_k_site_maleke_aksum,feature_trenches,MADE_OF,P45_consists_of,S4,S4 line 5258,explicit_pattern_match,0.75,"Pattern-matched sentence: ""One, found on the recent house floor in the K3 trenches, was made from a sherd of imported porcelain, and another (Fig. 347a) was abraded ar..."""
place_aksum,object_glass,FOUND_AT,P7_took_place_at,S4,S4 line 5282,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum does not appear in any quantity before phase VI, but Glass and beads sixteen cobalt blue fragments were recovered from ..."""
object_glass,object_beads,FOUND_AT,P7_took_place_at,S4,S4 line 5282,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum does not appear in any quantity before phase VI, but Glass and beads sixteen cobalt blue fragments were recovered from ..."""
place_aksum,period_late_aksumite,MADE_OF,P45_consists_of,S4,S4 line 5551,explicit_pattern_match,0.75,"Pattern-matched sentence: ""~-- 1 Aksum, has not been subject to metallurgical analysis a b and all copper or copper alloy artefacts are described together under this h..."""
place_yeha,place_aksum,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 6188,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Mai Hejja stream, below the Yeha Hotel. The site was regularly used on the occasions of visits to Aksum by H and X sites His Holiness the Pa..."""
place_yeha,object_stelae,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 6188,explicit_pattern_match,0.75,"Pattern-matched sentence: ""Mai Hejja stream, below the Yeha Hotel. The site was regularly used on the occasions of visits to Aksum by H and X sites His Holiness the Pa..."""
